# markerAvrg: average marker throughout entire volume of phantom (including in- and outlets)
# roi1_markerAvrg: average marker in full phantom volume (without in- and outlets)
# roi2_markerAvrg: average marker in 30mm sphere on central axis 11mm away from top
# roi3_markerAvrg: average marker in 30mm sphere on central axis 15mm away from top
# roi4_markerAvrg: average marker in sphere segment cut-off at 41.25 mm from top

#time	markerAvrg	roi1_markerAvrg	roi2_markerAvrg	roi3_markerAvrg	roi4_markerAvrg
0.97	0.00784285	0.00253054	0.00111563	0.000859918	0.0012307
0.98	0.00790485	0.00258827	0.0012437	0.000962938	0.00133309
0.99	0.00796663	0.00264596	0.00138086	0.00107393	0.00143962
1	0.0080282	0.00270361	0.00152716	0.00119305	0.00155016
1.01	0.00808955	0.0027612	0.00168262	0.00132039	0.00166457
1.02	0.00814975	0.00281862	0.00184721	0.00145603	0.00178271
1.03	0.00820974	0.00287593	0.0020209	0.0016	0.00190442
1.04	0.00826951	0.00293313	0.00220359	0.00175231	0.00202956
1.05	0.00832905	0.0029902	0.00239515	0.00191294	0.00215797
1.06	0.00838837	0.00304714	0.00259545	0.00208182	0.00228949
1.07	0.00844747	0.00310395	0.00280429	0.00225888	0.00242398
1.08	0.00850636	0.00316063	0.00302148	0.00244398	0.00256128
1.09	0.00856502	0.00321718	0.00324681	0.002637	0.00270124
1.1	0.00862346	0.00327358	0.00348005	0.00283777	0.00284373
1.11	0.00868168	0.00332984	0.00372093	0.00304611	0.00298859
1.12	0.00873968	0.00338596	0.00396922	0.00326182	0.0031357
1.13	0.00879682	0.00344182	0.00422466	0.00348469	0.00328491
1.14	0.00885374	0.0034975	0.00448696	0.00371448	0.00343612
1.15	0.00891044	0.00355301	0.00475587	0.00395097	0.00358919
1.16	0.00896692	0.00360833	0.00503111	0.00419389	0.00374402
1.17	0.00902318	0.00366348	0.00531243	0.00444299	0.00390049
1.18	0.00907923	0.00371844	0.00559955	0.00469802	0.00405851
1.19	0.00913505	0.00377321	0.00589221	0.00495871	0.00421798
1.2	0.00919067	0.00382781	0.00619016	0.00522479	0.00437879
1.21	0.00924606	0.00388222	0.00649315	0.00549599	0.00454086
1.22	0.00930124	0.00393644	0.00680092	0.00577205	0.00470411
1.23	0.00935621	0.00399049	0.00711324	0.00605268	0.00486844
